timestamp,__name__,endpoint,instance,job,model_name,namespace,pod,prometheus,service,value
2024-07-05 06:03:04.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:03:09.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:03:14.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:03:19.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:03:24.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:03:29.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.023731851586305752
2024-07-05 06:03:34.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.06047678795483058
2024-07-05 06:03:39.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.03864491844416562
2024-07-05 06:03:44.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:03:49.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.036207205592400094
2024-07-05 06:03:54.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.05298440580749242
2024-07-05 06:03:59.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.03462986198243412
2024-07-05 06:04:04.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
2024-07-05 06:04:09.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.06255601362251295
2024-07-05 06:04:14.319999933,vllm:gpu_cache_usage_perc,http,10.128.4.170:8000,vllm-llama,/data/hf/8b_instruction_tuned,fmaas-monitoring,vllm-llama-3,openshift-user-workload-monitoring/user-workload,vllm-llama,0.0
